airline_code,benchmark_gate_errors,benchmark_runway_errors,top_leaderboard_gate_errors,top_leaderboard_runway_errors
3M,12.791044776119403,5.7313432835820892,3.4468380886521284,3.0133462961635025
9E,8.0347624565469289,6.3638470451911937,3.7827264369622733,2.8556238329213235
9K,5.220779220779221,7.0779220779220777,3.2798142987383003,3.441418526308381
AA,5.2715376226826605,3.914940021810251,4.2481825177616352,2.769835539896103
AS,4.359375,5.4620535714285712,3.516548954899668,2.9259034078655821
AX,5.4385964912280702,4.1140350877192979,2.9770221869862104,2.2866685777543956
B6,5.7873254564983885,5.4908700322234161,3.8232685579882597,2.7722989873829964
BR,5.75,4.25,6.8304031342249232,6.6082334905825064
C5,8.6891891891891895,6.7837837837837842,3.8780356858418403,3.1378240181430801
CP,7.6367346938775507,5.4612244897959181,4.0573439182821875,3.1867988718770901
DL,5.5101796407185626,5.2799401197604787,3.7870894986604817,2.8753250190629798
EV,9.4778188539741226,5.6631238447319774,3.5406688752628357,2.6486792829802495
F9,5.2222222222222223,4.5277777777777777,3.1640048768039146,2.5172646967346735
FL,7.4676354029062084,4.7939233817701457,3.3794409728597525,2.6666585448671718
G7,8.0531914893617014,6.4042553191489358,4.4978166881486894,2.7875919930422621
JIA,6.25,4.5220588235294121,3.3252586612010631,2.4743661044380887
MQ,6.0482954545454541,5.2279829545454541,3.4207948680236413,2.4100412546397503
NK,8.8256880733944953,5.7522935779816518,3.5289606817338264,2.9025054856585633
OO,7.6437299035369772,6.1884244372990356,3.8703591862720419,3.0090616661050467
PDT,6.1792452830188678,5.1839622641509431,3.4344980845803885,3.0430546871781883
QF,24.333333333333332,15.666666666666666,7.4369145141699846,3.4947921673467213
QX,4.4454976303317535,4.2748815165876781,2.738814142278879,2.3789278301799044
RP,8.0597826086956523,6.0108695652173916,4.2040584192398978,2.8644204479902582
S5,9.3360433604336048,6.9078590785907856,4.5243715541610099,3.6403517564465999
UA,8.0422173274596176,6.4603524229074889,4.8640685921235276,3.818715087390574
US,5.7385507246376815,5.5176811594202899,4.0026058715615793,2.9475590542977192
VX,7.3498759305210921,6.5334987593052105,4.3259899206263661,3.5610886894861893
WN,7.1705124363200481,4.6799520527419842,3.2664988574029912,2.508830919569665
YV,7.3501683501683504,5.1178451178451176,3.7593452208884552,2.5546554867212894
YX,7.9387308533916849,5.3785557986870893,3.9707541404239102,3.1394390190292429
ZW,6.2852852852852852,4.9819819819819822,3.7619441663163329,2.7997945467989003
